SA,PoreV,Id/Ig,C,'Potential V',Current,Electrolyte,predictedCap,Cap
796,0.68,1.098901,94.971,1,0.5,6,106.15,107.3
796,0.68,1.098901,94.971,1,1,6,106.15,105
779,0.48,1,88.174,1,0.5,6,141.65,142.8
779,0.48,1,88.174,1,1,6,141.65,140.5
533,0.28,1.020408,86.521,1,0.5,6,126.4,126.4
533,0.28,1.020408,86.521,1,1,6,122.5,122.5
512,0.28,1.010101,86.944,1,0.5,6,90.4,90.4
512,0.28,1.010101,86.944,1,1,6,87.6,87.6
1947,1.33,0.93,94.4,1,1,6,470,470
1947,1.33,0.93,94.4,1,10,6,300,300
1947,1.33,0.93,94.4,1,20,6,266,266
950,0.87,1.098,93.99,1,1,6,75.995,75.61
950,0.87,1.098,93.99,1,3,6,75.995,76.38
950,0.87,1.098,93.99,1,5,6,76.64,76.64
950,0.87,1.098,93.99,1,7,6,75.43,76.28
950,0.87,1.098,93.99,1,9,6,75.43,74.58
950,0.87,1.098,93.99,1,15,6,69.115,71
950,0.87,1.098,93.99,1,20,6,69.115,67.23
1271,1,1.05,88.06,1,0.5,6,237.5,239
2297,0.97,0.79,90.22,1,1,6,345.5,344
2488,1.14,0.79,93.84,1,1,6,379,379
2487,1.28,0.82,88.74,1,1,6,286,286
2446,1.01,0.83,90.88,1,1,6,345,345
2533,1.23,0.79,90.39,1,1,6,345.5,347
2297,0.97,0.79,90.22,1,20,6,260,260
2488,1.14,0.79,93.84,1,20,6,297.5,298
2487,1.28,0.82,88.74,1,20,6,231,232
1708,0.62,0.84,86.1,1,0.5,6,242,239
2143,0.94,0.87,90.5,1,0.5,6,276,276
1937,0.72,0.91,91,1,0.5,6,245,245
304.3,0.19,1.01,67.7,1,0.5,6,169,169
494.7,0.64,0.95,77.41,1,0.5,6,192,192
445.8,0.24,0.96,68.58,1,0.5,6,206,206
974.6,0.69,0.95,80.95,1,0.5,6,242,245
974.6,0.69,0.95,80.95,1,20,6,177,177
1775.7,0.8516,0.91,91.51,0.9,1,6,292,292
1775.7,0.8516,0.91,91.51,0.9,10,6,244,244
1612,1.13,1.11,77.2,1,1,6,508,508
2283,1.51,0.83,89.3,1,1,6,370,370
1732,0.97,0.62,86.55,1,0.5,6,222,222
1732,0.97,0.62,86.55,1,1,6,171.4,171.4
1732,0.97,0.62,86.55,1,2,6,148.6,148.6
1732,0.97,0.62,86.55,1,5,6,124.3,127
1732,0.97,0.62,86.55,1,8,6,124.3,121.6
1732,0.97,0.62,86.55,1,10,6,116.55,118.1
1732,0.97,0.62,86.55,1,20,6,116.55,115
870,0.53,0.96,64.54,1,0.5,6,362,362
1813,1.05,0.93,67.54,1,0.5,6,402,402
2864,1.6,0.91,77.96,1,0.5,6,338,338
1813,1.05,0.93,67.54,1,20,6,325,325
678.6,0.49,1.05,88.44,1,0.5,6,150.5,150.5
1083,0.628,1.07,92.39,1,0.5,6,187.5,187.5
1749,0.924,1.08,89.1,1,0.5,6,243.2,243.2
678.6,0.49,1.05,88.44,1,10,6,133.042,133.042
1083,0.628,1.07,92.39,1,10,6,161.0625,161.0625
1749,0.924,1.08,89.1,1,10,6,197.7216,197.7216
3550.7,2.168,0.97,92.4,1,1,6,373,373
3550.7,2.168,0.97,92.4,1,2,6,335,335
3550.7,2.168,0.97,92.4,1,4,6,311,314
3550.7,2.168,0.97,92.4,1,6,6,311,308
3550.7,2.168,0.97,92.4,1,10,6,293,293
3550.7,2.168,0.97,92.4,1,15,6,279,279
3550.7,2.168,0.97,92.4,1,20,6,272,272
3550.7,2.168,0.97,92.4,1,40,6,244,244
1264,0.56,1.01,75.3,1.2,1,1,237.5,236
1803,0.8,0.98,77.8,1.2,1,1,285,285
2695,1.2,1.02,79,1.2,1,1,263,263
1438,0.82,0.91,82.5,1.2,1,1,245.75,248
760.49,0.51,1.22,86.62,1,1,6,149,149
