SA,PoreV,Id/Ig,C,O,N,'Potential V',Current,Electrolyte,predictedCap,Cap
950,0.87,1.098,93.99,4.44,0.88,1,9,6,79.655386,74.58
1987,1.047,2.62,83.22,14.15,2.47,0.8,10,6,125.96552,94.86
1733,0.86,1.38,79.38,18.98,1.64,0.9,2,6,279.828,293
877.8,0.49,0.988,85.64,5.34,8.52,1,1,6,225.076617,202.69
1325,0.884,1.02,90.72,8.1,1.17,1.2,4,6,222.018492,188
2738.6,1.452,0.98,87.51,11.41,1.08,1,2,6,319.09875,286
2670.8,1.41,1.08,81.5,18.5,0,1,20,6,256.337833,242
786.15,0.439,0.77,90.97,6.22,0,1,0.1,6,234.528033,294.5
592,1.5,0.93,90,10,0,1,20,6,188.960984,185
1803,0.8,0.98,77.8,15.8,6.5,1.2,1,1,278.309817,285
427.3,2.8,0.81,91.73,8.19,0,1,1,6,174.845949,143
1602,2.98,0.95,85.7,5.19,6.43,1.6,1,6,295.869393,212
3003,1.62,0.86,92.51,5.79,1.7,1,0.5,6,331.445356,390
558.32,0.29,1.021,78.45,8.74,12.81,1,1,6,162.672263,95.13
1684,1.57,1.008,94.42,4.43,1.15,1.2,4,6,214.217175,210
592,1.5,0.93,90,10,0,1,2,6,205.712095,172
229,0.6,0.78,80,10,0,1.1,1,6,110.667981,67.9
950,0.87,1.098,93.99,4.44,0.88,1,15,6,75.470537,71
406,0.2,0.03,69.3,30.74,0,1,0.1,6,214.911667,272
1775.7,0.8516,0.91,91.51,7.08,1.41,0.9,10,6,247.755336,244
2297,0.97,0.79,90.22,9.11,0.68,1,1,6,300.965167,344
711.1,0.73,0.78,87.8,8.5,3.7,1,0.2,6,232.488624,271.5
2312,1.2,0.98,94.1,4.5,1.4,1,50,6,250.272342,230
520,1.5,0.88,90,10,0,1,20,6,130.456198,128
1218.5,5.3,0.64,95.71,3.95,0,1,1,6,141.295858,291
2446,1.01,0.83,90.88,7.1,2.02,1,1,6,289.651375,345
81.7,0.11,0.85,87.2,10,0,2.4,0,6,282.469183,324
1824,0.978,2.68,83.99,13.08,2.17,0.8,10,6,103.576419,66.72
2670.8,1.41,1.08,81.5,18.5,0,1,1,6,282.8542,346.1
1349,0.9,0.91,82.5,8.5,9,1,0.1,6,235.641683,335
290.5,0.92,1.1,82.2,11.5,6.3,1,1,6,257.276125,267
406,0.2,0.09,88.1,11.82,0,1,10,6,202.425674,140
304.3,0.19,1.01,67.7,32.3,0,1,0.5,6,203.2389,169
1733,0.86,1.38,79.38,18.98,1.64,0.9,30,6,200.740128,191
1749,0.924,1.08,89.1,9.53,1.37,1,0.5,6,226.778748,243.2
3977.3,2.215,1.02,93.43,5.73,0.84,1,2,6,351.130664,321.4
520,1.5,0.84,90.1,9.9,0,1,20,6,114.314152,114
801,0.9,1.15,89.9,10.1,0,1,20,6,120.608217,12.1
3325.6,2.372,1.04,94.26,5.05,0.69,1,10,6,311.54245,297
520,1.5,0.81,90.1,9.9,0,1,50,6,108.976961,100
805.58,0.68,1.51,82.42,9.24,8.34,1,10,6,236.018427,254
520,1.5,0.81,90.1,9.9,0,1,20,6,110.031485,104
1813,1.05,0.93,67.54,31.06,0.44,1,0.5,6,317.991472,402
520,1.5,0.81,90.1,9.9,0,1,5,6,117.562345,113
81.7,0.11,0.85,87.2,10,0,2.4,0,6,314.813607,234
1947,1.33,0.93,94.4,4.9,0.65,1,20,6,306.317299,266
520,1.5,0.88,90,10,0,1,5,6,138.583226,138
406,0.2,0.11,88.1,11.82,0,1,1,6,238.7225,187
520,1.5,0.81,90.1,9.9,0,1,2,6,125.822786,122
301,1.5,1.25,93.77,3.67,0,1,5,6,54.793958,27.71
