SA,PoreV,Id/Ig,C,O,N,'Potential V',Current,Electrolyte,predictedCap,Cap
796,0.68,1.098901,94.971,1.105,0,1,0.5,6,103.928657,107.3
796,0.68,1.098901,94.971,1.105,0,1,1,6,103.952657,105
779,0.48,1,88.174,3.869,0.414,1,0.5,6,145.815375,142.8
779,0.48,1,88.174,3.869,0.414,1,1,6,144.741075,140.5
533,0.28,1.020408,86.521,4.325,0.43,1,0.5,6,123.49275,126.4
533,0.28,1.020408,86.521,4.325,0.43,1,1,6,123.33825,122.5
512,0.28,1.010101,86.944,4.571,0.578,1,0.5,6,101.544885,90.4
512,0.28,1.010101,86.944,4.571,0.578,1,1,6,99.847385,87.6
1947,1.33,0.93,94.4,4.9,0.65,1,1,6,416.795966,470
1947,1.33,0.93,94.4,4.9,0.65,1,10,6,308.086799,300
1947,1.33,0.93,94.4,4.9,0.65,1,20,6,277.049633,266
950,0.87,1.098,93.99,4.44,0.88,1,1,6,82.215224,75.61
950,0.87,1.098,93.99,4.44,0.88,1,3,6,77.728295,76.38
950,0.87,1.098,93.99,4.44,0.88,1,5,6,75.485262,76.64
950,0.87,1.098,93.99,4.44,0.88,1,7,6,75.485262,76.28
950,0.87,1.098,93.99,4.44,0.88,1,9,6,75.485262,74.58
950,0.87,1.098,93.99,4.44,0.88,1,15,6,71.523195,71
950,0.87,1.098,93.99,4.44,0.88,1,20,6,71.523195,67.23
1271,1,1.05,88.06,9.08,2.86,1,0.5,6,231.345017,239
2297,0.97,0.79,90.22,9.11,0.68,1,1,6,329.045867,344
2488,1.14,0.79,93.84,5.34,0.83,1,1,6,368.127449,379
2487,1.28,0.82,88.74,10.46,0.8,1,1,6,302.969597,286
2446,1.01,0.83,90.88,7.1,2.02,1,1,6,327.0721,345
2533,1.23,0.79,90.39,8.64,0.97,1,1,6,336.35185,347
2297,0.97,0.79,90.22,9.11,0.68,1,20,6,267.615216,260
2488,1.14,0.79,93.84,5.34,0.83,1,20,6,290.673833,298
2487,1.28,0.82,88.74,10.46,0.8,1,20,6,243.273383,232
1708,0.62,0.84,86.1,11.5,0.5,1,0.5,6,246.526567,239
2143,0.94,0.87,90.5,8.4,0.3,1,0.5,6,280.110667,276
1937,0.72,0.91,91,8.3,0.2,1,0.5,6,264.587233,245
304.3,0.19,1.01,67.7,32.3,0,1,0.5,6,174.042753,169
494.7,0.64,0.95,77.41,22.59,0,1,0.5,6,172.34247,192
445.8,0.24,0.96,68.58,22.43,8.99,1,0.5,6,199.085773,206
974.6,0.69,0.95,80.95,9.93,9.12,1,0.5,6,243.782017,245
974.6,0.69,0.95,80.95,9.93,9.12,1,20,6,196.795175,177
1775.7,0.8516,0.91,91.51,7.08,1.41,0.9,1,6,280.839814,292
1775.7,0.8516,0.91,91.51,7.08,1.41,0.9,10,6,248.582245,244
1612,1.13,1.11,77.2,16.1,6.7,1,1,6,417.599567,508
2283,1.51,0.83,89.3,9.4,1.3,1,1,6,344.767122,370
1732,0.97,0.62,86.55,13.45,0,1,0.5,6,198.437,222
1732,0.97,0.62,86.55,13.45,0,1,1,6,174.943333,171.4
1732,0.97,0.62,86.55,13.45,0,1,2,6,152.155717,148.6
1732,0.97,0.62,86.55,13.45,0,1,5,6,126.499917,127
1732,0.97,0.62,86.55,13.45,0,1,8,6,120.395526,121.6
1732,0.97,0.62,86.55,13.45,0,1,10,6,120.059526,118.1
1732,0.97,0.62,86.55,13.45,0,1,20,6,116.84036,115
870,0.53,0.96,64.54,33.12,0.51,1,0.5,6,293.131867,362
1813,1.05,0.93,67.54,31.06,0.44,1,0.5,6,369.341833,402
2864,1.6,0.91,77.96,21.34,0.18,1,0.5,6,316.058476,338
1813,1.05,0.93,67.54,31.06,0.44,1,20,6,312.856667,325
678.6,0.49,1.05,88.44,9.3,2.27,1,0.5,6,167.280289,150.5
1083,0.628,1.07,92.39,5.72,1.9,1,0.5,6,209.104533,187.5
1749,0.924,1.08,89.1,9.53,1.37,1,0.5,6,235.661492,243.2
678.6,0.49,1.05,88.44,9.3,2.27,1,10,6,154.109791,133.042
1083,0.628,1.07,92.39,5.72,1.9,1,10,6,180.69792,161.0625
1749,0.924,1.08,89.1,9.53,1.37,1,10,6,198.212651,197.7216
3550.7,2.168,0.97,92.4,5.2,1.5,1,1,6,357.884751,373
3550.7,2.168,0.97,92.4,5.2,1.5,1,2,6,332.448333,335
3550.7,2.168,0.97,92.4,5.2,1.5,1,4,6,310.2228,314
3550.7,2.168,0.97,92.4,5.2,1.5,1,6,6,306.614,308
3550.7,2.168,0.97,92.4,5.2,1.5,1,10,6,291.721667,293
3550.7,2.168,0.97,92.4,5.2,1.5,1,15,6,278.119667,279
3550.7,2.168,0.97,92.4,5.2,1.5,1,20,6,274.482333,272
3550.7,2.168,0.97,92.4,5.2,1.5,1,40,6,254.062167,244
1264,0.56,1.01,75.3,15.5,9.2,1.2,1,1,248.224309,236
1803,0.8,0.98,77.8,15.8,6.5,1.2,1,1,291.679067,285
2695,1.2,1.02,79,17.5,3.4,1.2,1,1,283.1751,263
1438,0.82,0.91,82.5,11.9,0.6,1.2,1,1,246.316433,248
